FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value,Cluster 3 Average,Cluster 3 Log2 Fold Change,Cluster 3 P-Value,Cluster 4 Average,Cluster 4 Log2 Fold Change,Cluster 4 P-Value,Cluster 5 Average,Cluster 5 Log2 Fold Change,Cluster 5 P-Value,Cluster 6 Average,Cluster 6 Log2 Fold Change,Cluster 6 P-Value,Cluster 7 Average,Cluster 7 Log2 Fold Change,Cluster 7 P-Value,Cluster 8 Average,Cluster 8 Log2 Fold Change,Cluster 8 P-Value,Cluster 9 Average,Cluster 9 Log2 Fold Change,Cluster 9 P-Value
ENSG00000175866,BAIAP2,1.410541181,0.343606951,0.236056518,0.983766733,-0.36436476,0.326329666,0.811725802,-0.629393808,0.118317369,1.219499684,0.026193132,1,1.043319904,-0.216641755,1,1.117556133,-0.105984096,1,1.832911241,0.67842913,0.200401969,0.72471383,-0.746874274,1,2.196570095,0.909117994,1
ENSG00000115524,SF3B1,1.336231061,0.343941421,0.237435849,0.910836403,-0.405269986,0.252102765,1.279127483,0.201658593,0.630538005,0.960817933,-0.247215376,1,0.866152374,-0.42108514,0.891754991,1.010348714,-0.17662997,1,1.552082159,0.496731513,0.431069485,0.843220494,-0.442630439,1,0.968516497,-0.233975752,1
ENSG00000154380,ENAH,1.238952359,0.344132855,0.238028389,1.11932202,0.120661915,0.881856017,0.594874866,-0.912789086,0.013498468,0.617668671,-0.785276985,1,1.080503213,0.043015827,1,1.234509682,0.246748987,1,1.038064643,-0.020112681,1,1.116697411,0.090199387,1,0.746960436,-0.503310785,1
ENSG00000105583,WDR83OS,3.455420565,0.337741143,0.23868794,2.439202448,-0.347770692,0.353341997,2.580233101,-0.216479588,0.708546854,3.262557596,0.150802545,1,2.54158853,-0.231072843,1,2.962823238,0.008595287,1,3.72349274,0.370615721,0.675181183,2.233394822,-0.415695253,1,3.411963347,0.215525715,1
ENSG00000130724,CHMP2A,1.732101335,0.340104713,0.23981892,1.512511625,0.051053415,1,1.219053913,-0.31027493,0.562375877,1.103356857,-0.430800899,1,1.419527501,-0.05882268,1,1.445675812,-0.029626135,1,1.271253077,-0.229216918,1,1.28534151,-0.205690664,1,1.234383771,-0.263550232,1
ENSG00000086598,TMED2,2.1394559,0.338948481,0.239941611,1.677397588,-0.15399723,0.818723731,1.284988319,-0.565658476,0.170669869,1.52569441,-0.265686521,1,1.804484112,-0.014666536,1,2.20587388,0.294689894,1,2.091173701,0.216911728,0.873469641,1.727462525,-0.081027712,1,1.360987235,-0.432881971,1
ENSG00000243649,CFB,6.464980412,0.334456078,0.245392056,4.619185136,-0.328702046,0.398507853,2.874740116,-1.041393869,0.00239938,4.777693567,-0.218831732,1,4.031108142,-0.49022835,0.706767545,7.02371035,0.371768956,1,11.12283757,1.139137271,0.004869778,4.371072723,-0.352110905,1,4.684328157,-0.247980086,1
ENSG00000116299,KIAA1324,1.077496735,0.341734999,0.246122,0.992486664,0.156425383,0.780353901,0.436632291,-1.17612172,0.001066205,0.580714135,-0.671190143,1,0.717419138,-0.380493697,0.944379183,0.977861617,0.101496562,1,1.326415932,0.589420277,0.314197075,0.884242032,-0.051383772,1,0.708979397,-0.375281554,1
ENSG00000125967,NECAB3,1.1626156,0.340328178,0.247106646,0.875163959,-0.227922485,0.645238046,0.635900719,-0.711501783,0.070569401,1.024168566,0.053120571,1,0.793973009,-0.342519699,1,0.883649036,-0.170661013,1,1.627304235,0.798329752,0.101731457,0.615323063,-0.703645617,1,1.41162862,0.531224899,1
ENSG00000116584,ARHGEF2,0.676222089,0.346844438,0.247487089,0.397945931,-0.661362077,0.030578156,0.597805284,0.071167386,0.948796083,0.401220675,-0.520121529,1,0.343398795,-0.788690155,0.334420071,0.620503551,0.124494774,1,1.080690486,1.025470363,0.017453272,0.282592814,-1.036262499,1,0.803931995,0.508388023,1
ENSG00000264364,DYNLL2,1.68819081,0.336160775,0.24766455,1.319087707,-0.162645987,0.795634636,1.002202976,-0.585856313,0.153161989,1.230058123,-0.234458383,1,1.305790321,-0.152483078,1,1.536639683,0.10061934,1,1.745152153,0.304064066,0.738119769,1.267109715,-0.191269619,1,1.823089877,0.350715868,1
ENSG00000213639,PPP1CB,1.211254951,0.3383252,0.248312802,0.892603821,-0.26863106,0.558890684,1.021250694,-0.015296875,1,0.749649156,-0.471690197,1,0.820220051,-0.357189534,0.984919998,1.276742908,0.329912057,1,1.105764511,0.109958585,1,0.870568186,-0.252503892,1,0.981176844,-0.073009028,1
ENSG00000198563,DDX39B,2.169855495,0.333986038,0.249622466,1.709899149,-0.148783085,0.831955927,1.425648386,-0.425931203,0.31912188,1.16670749,-0.686134032,1,1.587946018,-0.241053629,1,1.728313555,-0.1059228,1,2.730561343,0.618368834,0.30969867,1.704672782,-0.125550735,1,1.595203643,-0.223228136,1
ENSG00000126067,PSMB2,1.276782965,0.33691769,0.251581171,1.173227047,0.147320388,0.806561119,0.864473327,-0.37465975,0.442107267,0.659902426,-0.737735228,1,1.019260116,-0.101768329,1,0.919384842,-0.255409637,1,1.033049838,-0.079704005,1,1.043770233,-0.061520588,1,0.816592341,-0.422074434,1
ENSG00000100764,PSMC1,1.309209199,0.336273733,0.251581171,1.118529299,0.005852902,1,0.797073712,-0.545210113,0.198074747,0.786603692,-0.517447395,1,1.001762089,-0.168749491,1,1.292986457,0.227248161,1,1.226119832,0.148441388,0.978929926,1.057444079,-0.080175337,1,0.816592341,-0.459522117,1
ENSG00000167085,PHB,4.22621917,0.329578536,0.252864058,3.252534171,-0.196603148,0.711811172,2.820527382,-0.404598627,0.332467121,3.859109389,0.094585748,1,3.079652884,-0.251691791,1,3.661295821,0.018399728,1,3.650778067,0.01509419,1,3.108520956,-0.228958851,1,5.836419677,0.714086451,1
ENSG00000087191,PSMC5,2.06919906,0.331281893,0.254325938,1.71069187,-0.061091644,1,1.454952566,-0.318557816,0.490182921,1.736863186,-0.028244952,1,1.472021584,-0.28700059,1,1.656841942,-0.099674248,1,1.890581499,0.105077371,1,1.4813333,-0.266134593,1,1.899051956,0.103813032,1
ENSG00000007255,TRAPPC6A,1.536868384,0.33252311,0.25687095,1.039257202,-0.429080905,0.209983568,1.2981752,-0.016977341,1,1.636558017,0.330632351,1,1.008323849,-0.410933186,0.904037454,1.331970973,0.023049746,1,1.37405658,0.072470758,1,0.829546648,-0.682426671,1,2.380145118,0.892640262,1
ENSG00000105993,DNAJB6,1.111274063,0.33410106,0.260188453,1.024195503,0.150676206,0.798294343,0.747256605,-0.387527905,0.421053182,0.527921941,-0.8611467,1,0.892399415,-0.094134702,1,0.864156778,-0.140072861,1,0.960335165,0.021262693,1,0.843220494,-0.173979447,1,0.601366453,-0.666382955,1
ENSG00000108298,RPL19,32.01685284,0.323573043,0.260859553,24.34842483,-0.223863517,0.638222281,24.66386359,-0.176764588,0.797984916,23.51892248,-0.236442444,1,23.45391894,-0.248534099,1,31.13888238,0.191482619,1,29.07333221,0.088337189,1,28.70596038,0.062844766,1,23.87108308,-0.214532014,1
ENSG00000116288,PARK7,2.97578252,0.326437354,0.261768187,2.600917527,0.040620011,1,2.090853285,-0.323710761,0.486517353,1.773817722,-0.540953221,1,2.058205514,-0.334773695,0.944230108,2.501506461,-0.029507527,1,2.745605758,0.116453524,1,2.242510719,-0.194044836,1,2.380145118,-0.105098106,1
ENSG00000127837,AAMP,1.265298674,0.330896447,0.261768187,0.931447149,-0.276832239,0.534632038,0.964107541,-0.187600275,0.839996152,0.98193481,-0.142623209,1,0.87052688,-0.338036756,1,1.098063875,0.024590676,1,1.331430737,0.329011228,0.694863642,0.72471383,-0.594444647,1,1.588873469,0.574805086,1
ENSG00000184432,COPB2,1.262596488,0.331721391,0.261768187,1.072551483,-0.009048851,1,0.681322199,-0.73918729,0.055803759,0.828837448,-0.389750727,1,0.975515047,-0.156751687,1,1.26374807,0.244815184,1,1.311371517,0.308870652,0.733351325,1.093907668,0.022070731,1,0.71530957,-0.602831822,1
ENSG00000099246,RAB18,1.155860134,0.334921101,0.261768187,1.034500876,0.09420334,0.935586409,0.596340075,-0.807039301,0.036195685,0.62294789,-0.676652452,1,0.885837655,-0.166881234,1,0.955120649,-0.047136027,1,1.28379009,0.418434474,0.569530169,1.084791771,0.145084213,1,0.55705524,-0.834915273,1
ENSG00000165502,RPL36AL,5.262507566,0.323871086,0.261768187,4.512167804,0.001508389,1,3.658626947,-0.343071468,0.442515155,3.193927744,-0.517829954,1,4.359196163,-0.054957424,1,4.460478405,-0.019375441,1,4.387954408,-0.044428255,1,4.489579387,-0.010767096,1,3.475265079,-0.391762342,1
ENSG00000273749,CYFIP1,0.991026778,0.333913013,0.261768187,0.77052479,-0.173501257,0.775914586,0.745791396,-0.205179731,0.799543697,0.62294789,-0.449745462,1,0.612430971,-0.500641053,0.765182469,0.932379681,0.151707961,1,1.123316328,0.450638299,0.514467064,0.72471383,-0.228251573,1,0.734300089,-0.205359563,1
ENSG00000189091,SF3B3,0.907934553,0.334378515,0.261768187,0.742779556,-0.077897368,0.998985244,0.572896731,-0.488711432,0.277114929,0.564876477,-0.463494957,1,0.634303506,-0.310599209,1,0.73095968,-0.086042284,1,1.110779316,0.574276105,0.337949892,0.72471383,-0.096646967,1,0.595036279,-0.383828123,1
ENSG00000013275,PSMC4,1.295022722,0.331583894,0.261768187,1.136761882,0.053647862,1,0.779491204,-0.56675953,0.174580557,0.839395886,-0.40879714,1,1.115499269,0.014163528,1,1.146794521,0.055957466,1,1.080690486,-0.035501595,1,0.943495364,-0.237369408,1,0.981176844,-0.176844839,1
ENSG00000173674,EIF1AX,1.18017981,0.329403258,0.264416813,0.845833283,-0.326785741,0.415762843,0.854216864,-0.272243034,0.650622584,0.871071203,-0.217505044,1,0.826781811,-0.310837808,1,1.416437425,0.526430675,1,1.188508794,0.258335622,0.810898999,0.993632798,-0.022125852,1,0.822922514,-0.299597962,1
